CPU,SMT enabled,Online CPUs,# Sockets,Cores/Socket,Threads/core,Ncores,NUMA nodes,L2 cache,L3 cache,Power Policy,# Meas,Score,sem,Spread,Score/Ncores,RAM,SWAP,electric_power_mean,electric_power_std,HS23/W,min_score,max_score,first_date,last_date
AMD EPYC 7551P 32-Core Processor,1.0,0-63,1.0,32.0,2.0,64.0,4.0,16 MiB (32 instances),64 MiB (8 instances),,1.0,848.9,-,-,13.3,-,-,-,-,-,848.9,848.9,2025-03-06T11:11:37Z,2025-03-06T11:11:37Z
Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,0.0,0-19,2.0,10.0,1.0,20.0,1.0,5 MiB (20 instances),50 MiB (2 instances),performance,1.0,341.6,-,-,17.1,-,-,-,-,-,341.6,341.6,2023-09-29T14:24:57Z,2023-09-29T14:24:57Z
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,0.0,0-11,1.0,12.0,1.0,12.0,2.0,3 MiB (12 instances),30 MiB (2 instances),performance,1.0,165.5,-,-,13.8,-,-,-,-,-,165.5,165.5,2025-05-17T01:44:54Z,2025-05-17T01:44:54Z
Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,0.0,0-19,2.0,10.0,1.0,20.0,2.0,5 MiB (20 instances),50 MiB (2 instances),performance,1.0,311.7,-,-,15.6,-,-,-,-,-,311.7,311.7,2025-07-30T15:54:25Z,2025-07-30T15:54:25Z
Intel(R) Xeon(R) CPU           X5675  @ 3.07GHz,0.0,0-11,2.0,6.0,1.0,12.0,2.0,256K,12288K,ondemand,1.0,134.1,-,-,11.2,-,-,-,-,-,134.1,134.1,2025-09-16T23:09:34Z,2025-09-16T23:09:34Z
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,256K,12288K,conservative,1.0,168.3,-,-,7.0,-,-,-,-,-,168.3,168.3,2023-07-14T02:13:57Z,2023-07-14T02:13:57Z
Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz,1.0,0-23,2.0,6.0,2.0,24.0,2.0,3 MiB (12 instances),24 MiB (2 instances),not_available,1.0,160.8,-,-,6.7,-,-,-,-,-,160.8,160.8,2024-10-24T21:16:30Z,2024-10-24T21:16:30Z
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,1.0,0-63,2.0,16.0,2.0,64.0,2.0,1024K,22528K,,1.0,1226.4,-,-,19.2,-,-,-,-,-,1226.4,1226.4,2025-07-07T06:53:34Z,2025-07-07T06:53:34Z
Intel(R) Xeon(R) Gold 6152 CPU @ 2.10GHz,1.0,0-87,2.0,22.0,2.0,88.0,2.0,44 MiB (44 instances),60.5 MiB (2 instances),performance,1.0,941.9,-,-,10.7,-,-,-,-,-,941.9,941.9,2023-07-14T14:14:30Z,2023-07-14T14:14:30Z
Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,0.0,0-63,2.0,32.0,1.0,64.0,2.0,1280K,49152K,,1.0,1255.4,-,-,19.6,-,-,-,-,-,1255.4,1255.4,2025-03-13T11:05:08Z,2025-03-13T11:05:08Z
